Row_ID,Month,Month_Num,Year,Channel,Campaign,Audience_Segment,Impressions,Clicks,CTR_Pct,Conversions,Conversion_Rate_Pct,Spend_USD,CPC_USD,Revenue_Generated_USD,ROI_Pct
1,January 2023,1,2023,Email,Newsletter,High-Intent,13890,2641,19.01,104,3.94,454.07,0,17022.34,3648.8
2,January 2023,1,2023,Email,Drip Sequence,Lookalike,8824,1893,21.45,59,3.12,395.36,0,5485.82,1287.6
3,January 2023,1,2023,Email,Re-engagement,Lookalike,9472,2163,22.84,89,4.11,384.45,0,12331.12,3107.5
4,January 2023,1,2023,Email,Promotional Blast,Returning Users,13406,2763,20.61,82,2.97,339.67,0,10384.89,2957.3
5,January 2023,1,2023,Paid Search,Brand Keywords,Returning Users,6268,340,5.42,13,3.82,939.94,2.76,2095.47,122.9
6,January 2023,1,2023,Paid Search,Competitor Keywords,Lookalike,6917,406,5.87,18,4.43,952.35,2.35,2631.24,176.3
7,January 2023,1,2023,Paid Search,Long-tail Product,High-Intent,5119,332,6.49,13,3.92,912.64,2.75,1973.93,116.3
8,January 2023,1,2023,Social Media,LinkedIn Sponsored,High-Intent,20228,416,2.06,4,0.96,820.73,1.97,748.86,-8.8
9,January 2023,1,2023,Social Media,Facebook Retargeting,Returning Users,23450,480,2.05,4,0.83,896.14,1.87,766.11,-14.5
10,January 2023,1,2023,Social Media,Instagram Story,High-Intent,18609,334,1.79,4,1.2,672.63,2.01,390.54,-41.9
11,January 2023,1,2023,Display Ads,Awareness Banner,High-Intent,37589,130,0.35,0,0.0,528.39,4.06,0.0,-100.0
12,January 2023,1,2023,Display Ads,Retargeting Display,Churned Customers,29893,125,0.42,0,0.0,477.71,3.82,0.0,-100.0
13,January 2023,1,2023,Organic Search,SEO Blog,New Visitors,8584,361,4.21,11,3.05,0.0,0,2296.47,0
14,January 2023,1,2023,Organic Search,Landing Page Organic,Churned Customers,8668,395,4.56,12,3.04,0.0,0,2419.65,0
15,February 2023,2,2023,Email,Newsletter,High-Intent,17840,4139,23.2,137,3.31,435.53,0,13179.8,2926.2
16,February 2023,2,2023,Email,Drip Sequence,Returning Users,9923,2173,21.9,78,3.59,375.1,0,6673.11,1679.0
17,February 2023,2,2023,Email,Re-engagement,Churned Customers,13949,2901,20.8,86,2.96,467.57,0,18342.1,3822.9
18,February 2023,2,2023,Email,Promotional Blast,New Visitors,15598,3896,24.98,146,3.75,430.34,0,20255.95,4607.0
19,February 2023,2,2023,Paid Search,Brand Keywords,Churned Customers,6496,338,5.2,13,3.85,849.32,2.51,1389.84,63.6
20,February 2023,2,2023,Paid Search,Competitor Keywords,High-Intent,5427,332,6.12,16,4.82,1165.21,3.51,2685.67,130.5
21,February 2023,2,2023,Paid Search,Long-tail Product,New Visitors,8271,443,5.36,19,4.29,1125.85,2.54,2549.08,126.4
22,February 2023,2,2023,Social Media,LinkedIn Sponsored,New Visitors,18736,385,2.05,4,1.04,653.81,1.7,417.82,-36.1
23,February 2023,2,2023,Social Media,Facebook Retargeting,High-Intent,22955,436,1.9,5,1.15,787.8,1.81,1067.61,35.5
24,February 2023,2,2023,Social Media,Instagram Story,High-Intent,19585,302,1.54,3,0.99,753.03,2.49,604.65,-19.7
